region_cd,district_name,buld_gbn,floor_gbn,research_date,ratio_1b,ratio_1f,ratio_2f,ratio_3f,ratio_4f,ratio_5f,ratio_6f,ratio_11f,level_no_out
0000000,전체,1,0,201901,40.74686211,100.0,59.78305571,51.76816955,50.70945957,51.23892147,55.51500333,77.03330169,1
0100000,서울,1,1,201901,31.19719194,100.0,56.37907483,45.6121089,44.50602259,43.15876871,43.10422844,,1
0111113,광화문,1,0,201901,29.52323006,100.0,65.97399839,58.78887267,58.2643235,58.62924511,60.55338544,67.47447549,3
0111116,동대문,1,1,201901,37.45107299,100.0,65.82598419,58.48366742,57.83028398,56.60052866,60.94345622,,3
0111121,남대문,2,1,201901,21.69830085,100.0,32.4544392,24.05216282,22.9210793,19.89193428,15.88882317,,3
0111126,종로,1,1,201901,32.01711529,100.0,53.20561903,39.41340808,40.72179898,38.33347581,34.36291232,,3
0111Y19N001,시청,1,0,201901,35.62434229,100.0,53.42651705,55.9786852,51.34227293,47.92428084,43.99074,47.54583475,3
0114129,강남대로,2,1,201901,31.20231977,100.0,40.53589489,28.36960025,24.42360452,25.66973922,22.67259157,,3
0114131,도산대로,2,1,201901,49.04439185,100.0,60.92619075,53.6751003,50.44672211,52.07386261,49.74026532,,3
0114133,서초,2,1,201901,45.28912487,100.0,64.85920504,61.93330065,58.31724993,61.32231806,84.3226821,,3
0114N16,신사역,2,1,201901,31.2123133,100.0,39.14477389,30.66653551,27.53831857,25.64208717,21.23162612,,3
0117149,공덕역,1,0,201901,29.7790123,100.0,54.75061171,50.99724382,51.17519792,50.70301826,50.83067594,50.65223776,3
0117156,영등포,1,2,201901,16.74825652,100.0,70.14525032,72.37148078,72.6580748,72.60224803,70.92043681,69.11755778,3
0117N17,영등포신촌,2,1,201901,30.26342158,100.0,45.45182404,35.01912365,31.67061937,30.39143658,45.83126334,,2
0117N19,신촌,2,1,201901,29.56090687,100.0,45.57307064,38.46561342,35.94851664,30.47972633,52.92221595,,3
0117N21,홍대합정,2,1,201901,32.04582579,100.0,46.56443813,32.30195809,27.78028263,27.0113516,26.41969949,,3
0199000,기타,1,1,201901,31.64035868,100.0,52.34669731,40.28289401,38.83205335,36.55464807,35.70706747,,2
0199153,건대입구,2,1,201901,21.28118492,100.0,35.66982452,25.63722848,24.69606821,19.09514027,,,3
0199156,경희대,2,1,201901,25.81595206,100.0,41.4757524,31.8905689,24.66829305,22.30651813,,,3
0199159,목동,1,2,201901,25.69249575,100.0,64.40741142,59.40770475,55.49906036,51.57492474,55.48527329,57.20836711,3
0199166,성신여대,2,1,201901,33.66086902,100.0,43.41993996,36.25607417,33.71673978,35.1993633,23.05655282,,3
0199173,잠실,1,2,201901,12.95385693,100.0,43.9019533,40.31166269,34.74213319,34.42816564,33.63171755,29.89448716,3
0199176,장안동,1,2,201901,,100.0,65.89448546,63.95165051,63.95165051,65.89448546,62.03171098,59.58027186,3
0199191,혜화동,2,1,201901,32.40941164,100.0,42.53472699,32.29415955,26.54972332,19.82035837,15.16111729,,3
0199N22,불광역,2,1,201901,44.39998394,100.0,46.25361074,33.26600444,29.33211295,,,,3
0199N25,오류동역,2,1,201901,18.91040546,100.0,33.42506947,26.16369264,25.08306343,17.90329432,,,3
0200211,부산역,1,1,201901,31.63325616,100.0,54.71471482,54.23186808,55.76536069,54.36645831,50.29582827,,3
0200213,연산로터리,1,0,201901,25.72799383,100.0,70.40270404,51.47150156,41.81196699,42.88169183,39.81991288,26.62674468,3
0200216,서면,2,1,201901,18.57458299,100.0,36.33480367,27.11051118,23.11517112,25.96913082,37.94815371,,3
0200220,해운대,2,1,201901,20.15627861,100.0,41.07106991,30.78812466,28.90256968,29.22422105,22.10550389,,3
0200221,현대백화점주변,2,1,201901,29.65907006,100.0,42.36022477,33.77307261,31.44001565,32.01510313,31.90656349,,3
0200N27,남포동,2,1,201901,14.29067547,100.0,31.21978653,15.95822757,15.25251404,9.707762371,5.0429654,,3
0200Y19N005,남항동,2,1,201901,39.23883093,100.0,37.60842299,30.92699022,23.5598045,,,,3
0300000,대구,1,0,201901,31.09676575,100.0,54.37244542,47.6345738,38.04401303,39.43273538,40.35202803,48.18674728,1
0300311,동성로,1,0,201901,29.9825547,100.0,57.14023194,49.00694491,33.44972942,37.40581658,39.14258591,43.9745475,3
0300N14,수성범어,1,2,201901,29.93256837,100.0,64.23644051,44.83791349,40.70977173,41.00559904,42.76908598,42.22465857,3
0300N31,동대구,2,1,201901,29.42486322,100.0,44.26405834,42.43300799,43.63409538,43.64752555,54.37010411,,3
0300N32,들안길,2,1,201901,20.16515411,100.0,42.33892585,21.56323374,,,,,3
0400411,구월간석,1,0,201901,14.18013251,100.0,48.37875052,37.50357306,32.28652702,30.95083623,31.67221772,40.73259096,3
0400413,주안,1,0,201901,27.38809844,100.0,50.44373869,49.22909267,44.0826404,44.20225383,38.10198603,,3
0400N34,신포동,2,1,201901,28.98761624,100.0,48.88153861,34.20435598,26.48215813,26.35582859,38.37507502,,3
0500513,봉선동,2,1,201901,22.36363206,100.0,49.40247761,41.19755795,39.50617171,39.90293074,39.82348082,,3
0500N35,송정동지구,2,1,201901,19.57673426,100.0,39.80457791,18.85849716,,,,,3
0500N36,양산지구,2,1,201901,,100.0,48.58145099,37.43852414,36.69643139,,,,3
0500N38,첨단1지구,2,1,201901,22.83162081,100.0,44.15719921,28.75455814,22.72224417,23.95376566,15.97650466,,3
0600000,대전,1,2,201901,27.27289991,100.0,63.12956332,41.32973448,43.83810826,45.20386715,43.00964402,41.31481394,1
0600611,둔산,1,1,201901,27.37605682,100.0,43.2234104,34.84291997,34.74939998,34.69535733,32.53225063,,3
0600613,원도심,1,2,201901,20.78936442,100.0,55.82332203,38.71556901,35.78081725,41.58492354,45.28690664,43.09323022,3
0700714,전하동,2,1,201901,40.05620189,100.0,53.53407557,41.73265825,41.50553528,35.82911451,34.01021805,,3
0800816,모란,2,1,201901,29.97073782,100.0,41.59733006,27.34321317,23.95481857,21.75303451,23.38206928,,3
0800829,수원역,2,1,201901,33.95513568,100.0,44.9787085,32.66028594,25.7857922,13.00877982,13.10336184,,3
0800834,평촌범계,1,2,201901,,100.0,57.49549186,37.2062278,42.32608971,42.62059334,43.04700942,40.83135054,3
0800N44,성남구시가지,2,1,201901,30.33187895,100.0,40.65253835,33.52043067,26.0801518,24.61143354,,,3
0800N48,오산시청,2,1,201901,22.02863592,100.0,38.62828327,29.62538976,22.46813933,25.80676278,,,3
0800N50,이천종합터미널,2,1,201901,30.48616324,100.0,46.41917197,36.48808228,38.19882597,35.49556458,,,3
0800N51,탄현역,2,1,201901,,100.0,38.33725846,27.99413083,23.37457885,21.96374107,17.03666996,,3
0800N54,평택역,2,1,201901,8.939282469,100.0,33.91001579,30.19267896,9.128344417,,,,3
0800Y19N008,포천시외버스터미널,2,1,201901,39.76227187,100.0,52.2946618,52.86898381,30.09507326,,,,3
0900812,원주,2,1,201901,19.80094481,100.0,32.90975795,23.13135396,18.85314933,20.99239593,22.86597834,,3
0900813,춘천,2,1,201901,31.22367897,100.0,33.71340256,24.92212419,28.91773609,31.93694826,27.16115835,,3
0900N59,태백중앙시장,2,1,201901,38.08661457,100.0,60.09337021,53.04375875,37.93330352,,,,3
1000000,충북,1,1,201901,23.72417783,100.0,52.30696026,41.67741823,40.99564851,37.92724188,38.51157324,,1
1000971,청주,2,1,201901,17.77901388,100.0,37.69682945,20.335003,12.72331278,14.28273185,,,3
1000972,충주,2,1,201901,36.9937077,100.0,43.34261348,36.19005639,35.25932249,36.83029735,31.87399334,,3
1000N60,제천역,2,1,201901,21.41892447,100.0,61.90773441,54.94814782,,,,,3
1000N62,충북대학교,2,1,201901,36.27047605,100.0,45.23958235,27.1863342,25.49788787,23.52321581,15.255749,,3
1100000,충남,1,1,201901,18.35300045,100.0,54.35658186,46.13996708,44.50650428,44.24000082,48.26782646,,1
1100N64,강경젓갈시장,2,1,201901,,100.0,56.33974637,,,,,,3
1100N65,논산시외버스터미널,2,1,201901,20.93814302,100.0,43.70249336,29.04740944,23.74836027,,,,3
1100N68,보령,2,1,201901,22.41333544,100.0,38.58285783,35.45960831,30.47337793,24.39855031,25.49525988,,3
1100N69,아산온양,2,1,201901,26.82022125,100.0,44.10008361,36.71925647,25.15351851,27.3901947,29.56875689,,3
1100N70,천안역,2,1,201901,34.77110038,100.0,48.48407021,37.59523503,32.77653447,42.36934821,,,3
1100N71,천안종합버스터미널,2,1,201901,30.07371641,100.0,56.29070162,40.32572418,39.3957103,69.72111459,,,3
1100N72,태안,2,1,201901,15.15690862,100.0,65.09048315,47.42610096,37.25056262,43.21888481,35.08217318,,3
1100Y19N011,공주웅진동,2,1,201901,25.85361201,100.0,46.4414795,30.89015638,28.14469959,48.26949922,,,3
1114116,논현역,3,1,201901,26.33370773,100.0,42.74972627,37.33783594,34.14920828,39.18491634,44.66311891,,3
1114N111,압구정,4,1,201901,40.71675235,100.0,73.81381998,,,,,,3
1114N112,청담,4,1,201901,27.34441321,100.0,44.73884424,,,,,,3
1114N113,테헤란로,4,1,201901,53.12406504,100.0,65.83457192,,,,,,3
1117N200,여의도,3,1,201901,14.23201888,100.0,38.62384022,32.08258914,23.08709743,22.46463061,32.12895824,,3
1199115,노원역,3,1,201901,28.52189771,100.0,35.58390145,28.3642055,22.64079883,30.72520977,29.4402214,,3
1199121,명일역,3,1,201901,17.68613533,100.0,26.7900601,20.91462509,26.47558972,17.15467984,22.38897627,,3
1199N124,사당,4,1,201901,17.21625686,100.0,64.18165122,,,,,,3
1199N129,왕십리,4,1,201901,46.91910544,100.0,60.73702285,,,,,,3
1199N133,천호,4,1,201901,15.10966354,100.0,56.99768644,,,,,,3
1199N203,수유,3,1,201901,15.70612076,100.0,34.78265969,23.99058601,22.62606668,18.37150062,8.18859546,,3
1200000,전북,1,1,201901,27.22637762,100.0,52.6342117,43.66809167,42.01397077,40.11007909,36.66250492,,1
1300000,전남,1,2,201901,,100.0,55.52676851,47.31355045,37.11450691,48.4173122,35.80372047,29.02616517,1
1300892,목포,2,1,201901,31.52769029,100.0,45.11545034,39.10390035,32.48590826,32.96814739,31.0830227,,3
1300N77,광양읍,2,1,201901,22.77107957,100.0,64.88785971,35.2500656,25.13979801,,,,3
1300N79,나주구시가지,2,1,201901,14.6908546,100.0,32.26316201,23.40808694,17.86996406,,,,3
1300N81,순천법원,2,1,201901,,100.0,54.92300095,43.9070637,41.279509,43.33003583,,,3
1300N82,여수여문,2,1,201901,36.82515782,100.0,42.50854806,36.22272186,31.22729491,28.92371838,37.20913242,,3
1300N83,여수원도심,2,1,201901,18.78822846,100.0,40.1664335,22.84190037,21.05488384,16.77112614,19.44737962,,3
1300N84,여수학동,2,1,201901,20.42881724,100.0,38.24766652,34.47717507,22.21943701,17.88848367,,,3
1400000,경북,1,2,201901,18.71245024,100.0,64.72525718,48.20838151,48.93718098,51.49819233,55.87456288,55.10420542,1
1400872,안동,2,1,201901,41.34414683,100.0,40.31500245,31.45768865,26.5708989,45.36026731,23.958224,,3
1400N87,경주,2,1,201901,18.58463525,100.0,51.60234898,25.64126188,19.90181121,,,,3
1400N88,구미산업단지,2,1,201901,,100.0,32.10001618,20.73446139,23.00143617,,,,3
1400N90,영주,2,1,201901,,100.0,39.96886627,37.24764521,,,,,3
1400N91,옥동사거리,2,1,201901,32.56115123,100.0,40.01300088,35.91258687,37.70091591,35.60925041,,,3
1400Y19N014,구미선주원남동,2,1,201901,,100.0,53.49380631,33.1181823,41.88947935,64.41074856,,,3
1500854,진주중앙시장,2,1,201901,18.85967632,100.0,38.15792137,26.64449546,22.19115329,18.16404424,17.93258813,,3
1500N92,거제옥포,2,1,201901,22.43735348,100.0,44.442882,37.27930335,,,,,3
1500N93,마산동서동,2,1,201901,16.33076977,100.0,36.15104683,23.04506627,18.20771339,,,,3
1500N95,진해,2,1,201901,10.28285599,100.0,36.43497019,28.34532639,,,,,3
1500N98,창원월영동,2,1,201901,14.51296493,100.0,40.23777122,26.40088921,22.47601893,24.86506902,,,3
1500Y19N016,통영 강구안,2,1,201901,,100.0,35.16648976,28.09731688,22.20532157,,,,3
1600931,제주,2,1,201901,34.93351842,100.0,48.46868141,40.60583657,39.75972197,47.56922162,54.30663366,,3
2600102,사상역,4,1,201901,,100.0,49.29310864,,,,,,3
2600112,광안리,3,1,201901,30.70001325,100.0,43.48631552,47.19143582,47.86619979,52.92711275,48.86961687,,3
2600119,온천장,3,1,201901,25.00466888,100.0,48.20603688,49.64255628,50.94893934,53.56170546,41.99015516,,3
2600123,화명역,3,1,201901,17.51940372,100.0,27.05771475,25.00653441,19.50081169,17.89264517,16.21234083,,3
2700103,상인월배,4,1,201901,,100.0,40.81535594,,,,,,3
2700105,죽전,4,1,201901,,100.0,33.29925388,,,,,,3
2700115,시지지구,3,1,201901,27.32041933,100.0,38.37040479,33.27535801,23.65321371,25.07201236,19.84358336,,3
2700N148,칠곡,4,1,201901,,100.0,27.49317352,,,,,,3
2800000,인천,3,1,201901,25.94285738,100.0,33.13913491,28.86007817,25.75114544,24.24117674,23.3950198,,1
2900101,금남로/충장로,4,1,201901,,100.0,38.77937058,,,,,,3
2900106,월산동지구,4,1,201901,,100.0,36.12148994,,,,,,3
2900113,상무지구,3,1,201901,24.15348931,100.0,38.64308693,31.97002389,31.81406692,29.70922449,29.6219603,,3
2900114,수완지구,3,1,201901,,100.0,38.99422654,32.52303479,28.73411847,21.88658639,22.68941484,,3
2900N150,금호지구,4,1,201901,,100.0,,,,,,,3
2900N152,전남대,4,1,201901,28.81118183,100.0,45.36165802,,,,,,3
3000113,동춘당공원,3,1,201901,15.81103462,100.0,36.59022926,28.86501397,25.89095092,21.2959494,24.65766278,,3
3100102,성남옥교동,4,1,201901,,100.0,50.93062423,,,,,,3
3100113,신정동,3,1,201901,18.14969917,100.0,54.16827031,45.49968187,42.73228977,57.82681449,52.33255705,,3
3100115,울산북구,3,1,201901,21.0789053,100.0,37.95735534,36.14458894,24.92048453,,,,3
3600N211,세종정부청사,3,1,201901,,100.0,40.39102796,28.38516192,24.25235255,24.28451794,23.23555778,,3
3600Y19N006,조치원,2,1,201901,26.94161598,100.0,53.23915779,48.74949278,48.93924056,,,,3
4100114,동백지구,3,1,201901,,100.0,26.63743588,22.02605677,19.97445468,19.34653859,18.54764838,,3
4100115,동탄센트럴파크,3,1,201901,,100.0,31.22583513,20.13313468,18.27332501,24.31469729,19.25117727,,3
4100118,부천역,3,1,201901,20.216386,100.0,34.98845072,20.65730747,20.30305979,16.46018009,16.28341521,,3
4100119,산본역,3,1,201901,7.148886052,100.0,32.49161505,20.0538338,18.58399289,17.92718796,14.93903135,,3
4100125,시흥시립도서관,3,1,201901,,100.0,32.86566929,25.13580798,21.47262583,19.81367975,,,3
4100135,의정부역,3,1,201901,,100.0,37.62468249,37.84479136,24.85576329,25.18310554,25.40632463,,3
4100140,죽전카페거리,3,1,201901,11.03215365,100.0,26.61875999,20.44464575,18.29729893,17.61851032,17.09737806,,3
4100N157,고양시청,4,1,201901,,100.0,38.12391174,,,,,,3
4100N158,광명,4,1,201901,,100.0,37.07946064,,,,,,3
4100N160,병점역,4,1,201901,,100.0,43.08893586,,,,,,3
4100N163,용인수지,4,1,201901,,100.0,,,,,,,3
4100N166,파주시청,4,1,201901,,100.0,54.13721766,,,,,,3
4100N167,팔달문로터리,4,1,201901,11.32734512,100.0,36.0482486,,,,,,3
4100N214,분당,3,1,201901,15.76643952,100.0,30.05716561,25.85644863,24.82565267,23.51911496,19.89904928,,3
4100N216,선부다이아몬드,3,1,201901,,100.0,39.61900377,33.06773963,28.56915213,24.43499769,22.88813971,,3
4100N218,안성시장,3,1,201901,,100.0,38.2557109,28.38410134,34.61990833,34.06667608,21.7759439,,3
4200111,강릉,3,1,201901,19.31887492,100.0,46.16845043,45.99857338,44.16375413,40.5364293,60.18419633,,3
4200116,영월경찰서,3,1,201901,18.01839426,100.0,46.43311196,31.12771304,,,,,3
4200N169,삼척중앙시장,4,1,201901,30.89861937,100.0,56.13002381,,,,,,3
4200N221,동해천곡,3,1,201901,17.32101786,100.0,34.80710078,25.25223176,23.87580228,23.65950648,15.49122996,,3
4200Y19N023,주문진항,4,1,201901,,100.0,59.69668563,,,,,,3
4300105,충주자유시장,4,1,201901,,100.0,45.89382722,,,,,,3
4300113,용담동우체국,3,1,201901,33.53903037,100.0,40.84117845,29.95361064,27.67869352,25.08248399,24.61214889,,3
4300115,청주고속버스터미널,3,1,201901,,100.0,40.58364208,33.29444329,31.79373385,26.29635254,31.77028614,,3
4300N173,제천중앙,4,1,201901,,100.0,43.98932292,,,,,,3
4400112,금산인삼국제시장,3,1,201901,21.64090238,100.0,27.71025377,32.13725805,,,,,3
4400N175,당진시청,4,1,201901,42.28943105,100.0,49.6306304,,,,,,3
4400N178,서산,4,1,201901,,100.0,59.10350375,,,,,,3
4400N227,두정,3,1,201901,26.13946336,100.0,39.94057908,37.99522125,32.62168238,32.88754566,32.07447933,,3
4400N228,백석,3,1,201901,27.92408825,100.0,51.53387013,49.38318775,48.38490339,38.24523867,43.63264207,,3
4500101,군산,4,1,201901,,100.0,35.41396938,,,,,,3
4500105,전주,4,1,201901,,100.0,60.0974481,,,,,,3
4500114,전주서부신시가지,3,1,201901,,100.0,37.15825822,28.54397588,27.16257938,23.57212393,25.83772382,,3
4600106,순천,4,1,201901,,100.0,38.53131267,,,,,,3
4600N232,광양중동,3,1,201901,,100.0,55.31845687,,,,,,3
4600N234,조례,3,1,201901,,100.0,42.41744592,16.00990446,19.83779903,,,,3
4700104,문경,4,1,201901,,100.0,40.21983742,,,,,,3
4700111,구미,3,1,201901,21.08973581,100.0,28.43098144,20.6127777,20.07709763,17.72838465,28.85590243,,3
4700Y19N026,가흥택지개발지구,4,1,201901,,100.0,,,,,,,3
4700Y19N028,상주동문동,4,1,201901,,100.0,36.75217376,,,,,,3
4800101,거제,4,1,201901,,100.0,42.89196936,,,,,,3
4800103,김해,4,1,201901,,100.0,46.02011649,,,,,,3
4800121,창원시청,3,1,201901,16.74254847,100.0,51.58185446,39.01960554,36.44816616,36.5416986,36.35767722,,3
4800125,창원역,3,1,201901,41.85830603,100.0,47.28381009,37.35592823,33.87878169,33.9268881,34.0752699,,3
4800N196,창원의창구청,4,1,201901,,100.0,44.35877336,,,,,,3
4800N242,마산역버스터미널,3,1,201901,21.87058147,100.0,49.09277879,36.91733445,35.8106369,33.21303671,32.75111851,,3
4800N243,창원명곡동,3,1,201901,23.20979892,100.0,38.7569646,26.94540269,22.55951625,20.47835797,18.12011981,,3
4800N246,활천동,3,1,201901,,100.0,48.39466243,,,,,,3
5000101,노형오거리,4,1,201901,,100.0,63.28027429,,,,,,3
0114Y20N002,남부터미널,2,1,202001,41.66465541,100.0,63.57346374,58.66151631,54.61216595,51.87010857,70.64570892,,3
0114Y20N004,망원역,2,1,202001,38.278982,100.0,48.8470983,45.78191919,50.82611938,51.87902343,45.58423717,,3
0199Y20N005,가락시장,2,1,202001,26.27019072,100.0,40.15152488,30.83871387,27.55991209,32.49026985,45.53327264,,3
0199Y20N006,구로디지털공단역,2,1,202001,24.64251032,100.0,39.51610652,27.60252599,22.52864007,22.53963137,,,3
0199Y20N007,노량진,2,1,202001,31.19007724,100.0,51.10963607,37.24083511,32.83894749,31.37263473,39.10719548,,3
