제1종전용주거지역,제2종전용주거지역,제1종일반주거지역,제2종일반주거지역,제3종일반주거지역,준주거지역,중심상업지역,일반상업지역,근린상업지역,유통상업지역,전용공업지역,일반공업지역,준공업지역,보전녹지지역,생산녹지지역,자연녹지지역,보전관리지역,생산관리지역,계획관리지역,농림지역,자연환경보전지역,base_ym,준주거지역：70퍼센트,보존녹지지역：20퍼센트,생산녹지지역：20퍼센트,자연녹지지역：20퍼센트,농림　지역,,제1종일반용주거지역
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,60퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,80퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
40퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,60퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,,,,,,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,,,,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,60퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,,20퍼센트,2022-09-13,,,,,20퍼센트,,
40퍼센트,40퍼센트,60퍼센트,60퍼센트,50퍼센트,60퍼센트,70퍼센트,60퍼센트,60퍼센트,60퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,,,,,,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,60퍼센트,80퍼센트,70퍼센트,60퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,1500퍼센트,1300퍼센트,900퍼센트,"1,100퍼센트",,,,50퍼센트,,60퍼센트,,,,,,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
40퍼센트,40퍼센트,60퍼센트,60퍼센트,50퍼센트,60퍼센트,70퍼센트,60퍼센트,60퍼센트,60퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,60퍼센트,70퍼센트,70퍼센트,60퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,60퍼센트
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,40퍼센트,60퍼센트,60퍼센트,50퍼센트,60퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,40퍼센트,60퍼센트,60퍼센트,50퍼센트,60퍼센트,80퍼센트,70퍼센트,60퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트.,20퍼센트,20퍼센트.,40퍼센트.,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,40퍼센트,60퍼센트,60퍼센트,50퍼센트,60퍼센트,80퍼센트,60퍼센트,60퍼센트,60퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,,,,,,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,60퍼센트,80퍼센트,60퍼센트,60퍼센트,60퍼센트,70퍼센트,60퍼센트,60퍼센트,20퍼센트,20퍼센트,20퍼센트,,,,,,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,80퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,,,,,,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,80퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
40퍼센트,30퍼센트,60퍼센트,60퍼센트,40퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,60퍼센트,70퍼센트,60퍼센트,60퍼센트,20퍼센트,20퍼센트,20퍼센트,,,,,,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
100퍼센트,150퍼센트,200퍼센트,250퍼센트,300퍼센트,500퍼센트,"1,300퍼센트","1,000퍼센트",700퍼센트,"1,000퍼센트",200퍼센트,250퍼센트,400퍼센트,80퍼센트,100퍼센트,100퍼센트,,,,,,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
40퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,60퍼센트,80퍼센트,80퍼센트,60퍼센트,60퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,,,,,,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,80퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,60퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,80퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
40퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,60퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,,,,,,2022-09-13,,,,,,,
50퍼센트,50퍼센트,60퍼센트,60퍼센트,50퍼센트,70퍼센트,90퍼센트,80퍼센트,70퍼센트,80퍼센트,70퍼센트,70퍼센트,70퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,20퍼센트,40퍼센트,20퍼센트,20퍼센트,2022-09-13,,,,,,,
